onset_time	duration	type	cond	stimuli
0	400	TEXT_STREAM	calculvideo	calculate~fifteen~minus~six
2400	400	TEXT_STREAM	calculvideo	calculate~ten~minus~three
8700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
11400	400	SOUND	clicDaudio	clic3D.wav
15000	400	SOUND	phraseAudio	ph21.wav
18000	400	TEXT_STREAM	clicDvideo	press~three times~on the~right button
20700	400	SOUND	phraseAudio	ph22.wav
23700	400	SOUND	clicGaudio	clic3G.wav
26700	400	TEXT_STREAM	clicGvideo	press~three times~on the~left button
29700	400	SOUND	phraseAudio	ph23.wav
33000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
35400	400	SOUND	calculaudio	calc21.wav
39000	400	TEXT_STREAM	phraseVideo	The gardener~took care~of flowers~with love
41700	400	TEXT_STREAM	phraseVideo	They eat~bread~with~their cheese
44700	400	SOUND	calculaudio	calc22.wav
48000	400	SOUND	calculaudio	calc23.wav
56400	400	TEXT_STREAM	phraseVideo	The news~predicts~sunny skies~for Monday
59700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
62400	400	SOUND	clicGaudio	clic3G.wav
69000	400	TEXT_STREAM	clicDvideo	press~three times~on the~right button
71400	400	TEXT_STREAM	clicGvideo	press~three times~on the~left button
75000	400	TEXT_STREAM	phraseVideo	Clouds~float~above~the volcano
83400	400	SOUND	calculaudio	calc24.wav
87000	400	SOUND	clicDaudio	clic3D.wav
89700	400	SOUND	phraseAudio	ph24.wav
96000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
108000	400	SOUND	calculaudio	calc25.wav
116700	400	TEXT_STREAM	clicGvideo	press~three times~on the~left button
119400	400	SOUND	phraseAudio	ph25.wav
122700	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
125400	400	TEXT_STREAM	calculvideo	calculate~thirteen~minus~three
131400	400	TEXT_STREAM	phraseVideo	Factories~pollute~the country~air
135000	400	SOUND	calculaudio	calc26.wav
137700	400	SOUND	calculaudio	calc27.wav
140400	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
143400	400	SOUND	clicDaudio	clic3D.wav
146700	400	SOUND	phraseAudio	ph26.wav
149400	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
153000	400	TEXT_STREAM	calculvideo	calculate~fifteen~minus~seven
156000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
159000	400	TEXT_STREAM	phraseVideo	The dog ~pounced ~on the ~black cat
162000	400	SOUND	clicDaudio	clic3D.wav
164400	400	TEXT_STREAM	calculvideo	calculate~eighteen~minus~four
167700	400	TEXT_STREAM	phraseVideo	Nobody~wears~a coat~in summer
170400	400	SOUND	clicGaudio	clic3G.wav
173700	400	SOUND	calculaudio	calc28.wav
176700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
188400	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
191700	400	SOUND	calculaudio	calc29.wav
195000	400	TEXT_STREAM	phraseVideo	People in~the neighborhood~are afraid~of fire
198000	400	TEXT_STREAM	calculvideo	calculate~sixteen~minus~three
201000	400	TEXT_STREAM	calculvideo	calculate~seventeen~minus~two
203700	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
207000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
210000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
212700	400	TEXT_STREAM	clicGvideo	press~three times~on the~left button
215700	400	TEXT_STREAM	clicGvideo	press~three times~on the~left button
218700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
221400	400	TEXT_STREAM	calculvideo	calculate~ten~minus~seven
224700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
227700	400	TEXT_STREAM	clicDvideo	press~three times~on the~right button
230700	400	SOUND	clicDaudio	clic3D.wav
234000	400	TEXT_STREAM	calculvideo	calculate~thirteen~minus~six
236700	400	SOUND	phraseAudio	ph27.wav
246000	400	TEXT_STREAM	phraseVideo	A truck~is parked~near~the factory
248400	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
251700	400	SOUND	calculaudio	calc30.wav
254700	400	SOUND	clicGaudio	clic3G.wav
257399	400	SOUND	clicGaudio	clic3G.wav
260399	400	TEXT_STREAM	calculvideo	calculate~fourteen~minus~six
264000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
266700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
269700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
275400	400	TEXT_STREAM	clicDvideo	press~three times~on the~right button
278400	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
284400	400	SOUND	phraseAudio	ph28.wav
288000	400	TEXT_STREAM	phraseVideo	To go~to Brazil~we take ~an airplane
291000	400	TEXT_STREAM	clicDvideo	press~three times~on the~right button
293400	400	SOUND	phraseAudio	ph29.wav
296700	400	SOUND	phraseAudio	ph30.wav
