onset_time	duration	type	cond	stimuli
0	400	TEXT_STREAM	calculvideo	calculate~twelve~minus~two
2400	400	TEXT_STREAM	calculvideo	calculate~eighteen~minus~six
8700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
11400	400	SOUND	clicDaudio	clic3D.wav
15000	400	SOUND	phraseAudio	ph31.wav
18000	400	TEXT_STREAM	clicDvideo	press~three times~on the~right button
20700	400	SOUND	phraseAudio	ph32.wav
23700	400	SOUND	clicGaudio	clic3G.wav
26700	400	TEXT_STREAM	clicGvideo	press~three times~on the~left button
29700	400	SOUND	phraseAudio	ph33.wav
33000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
35400	400	SOUND	calculaudio	calc31.wav
39000	400	TEXT_STREAM	phraseVideo	He stole~the bike ~from the~postman
41700	400	TEXT_STREAM	phraseVideo	The rain~made ~the road~slippery
44700	400	SOUND	calculaudio	calc32.wav
48000	400	SOUND	calculaudio	calc33.wav
56400	400	TEXT_STREAM	phraseVideo	A sale~has been~announced~on the radio
59700	400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
62400	400	SOUND	clicGaudio	clic3G.wav
69000	400	TEXT_STREAM	clicDvideo	press~three times~on the~right button
71400	400	TEXT_STREAM	clicGvideo	press~three times~on the~left button
75000	400	TEXT_STREAM	phraseVideo	In Italy~the pasta~is eaten~daily
83400	400	SOUND	calculaudio	calc34.wav
87000	400	SOUND	clicDaudio	clic3D.wav
89700	400	SOUND	phraseAudio	ph34.wav
96000	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
108000	400	SOUND	calculaudio	calc35.wav
116700	400	TEXT_STREAM	clicGvideo	press~three times~on the~left button
119400	400	SOUND	phraseAudio	ph35.wav
122700	400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
125400	400	TEXT_STREAM	calculvideo	calculate~seventeen~minus~four
