onset_time	duration	type	cond	stimuli
0	400	TEXT_STREAM	calculvideo	calcule~dieciséis~menos~ocho
2400	400	TEXT_STREAM	calculvideo	calcule~diez~menos~dos
8700	400	IMAGE_STREAM	CheckBoardH	checherboardHpb.bmp~checherboardHnb.bmp~checherboardHpb.bmp~checherboardHnb.bmp~checherboardHpb.bmp~checherboardHnb.bmp
11400	400	SOUND	clicDaudio	clic3D.wav
15000	400	SOUND	phraseAudio	ph1.wav
18000	400	TEXT_STREAM	clicDvideo	pulse~tres veces~en el botón~derecho
20700	400	SOUND	phraseAudio	ph2.wav
23700	400	SOUND	clicGaudio	clic3G.wav
26700	400	TEXT_STREAM	clicGvideo	pulse~tres veces~en el botón~izquierdo
29700	400	SOUND	phraseAudio	ph3.wav
33000	400	IMAGE_STREAM	CheckBoardV	checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp
35400	400	SOUND	calculaudio	calc5.wav
39000	400	TEXT_STREAM	phraseVideo	La tormenta~ha asustado~a los animales~del zoo
41700	400	TEXT_STREAM	phraseVideo	Los gatos~acechan~al pájaro que~está en el tejado
44700	400	SOUND	calculaudio	calc1.wav
48000	400	SOUND	calculaudio	calc4.wav
56400	400	TEXT_STREAM	phraseVideo	La torre~del castillo~está~en ruinas
59700	400	IMAGE_STREAM	CheckBoardH	checherboardHpb.bmp~checherboardHnb.bmp~checherboardHpb.bmp~checherboardHnb.bmp~checherboardHpb.bmp~checherboardHnb.bmp
62400	400	SOUND	clicGaudio	clic3G.wav
69000	400	TEXT_STREAM	clicDvideo	pulse~tres veces~en el botón~derecho
71400	400	TEXT_STREAM	clicGvideo	pulse~tres veces~en el botón~izquierdo
75000	400	TEXT_STREAM	phraseVideo	Hemos visto~pasar~el desfile~desde el balcón
83400	400	SOUND	calculaudio	calc6.wav
87000	400	SOUND	clicDaudio	clic3D.wav
89700	400	SOUND	phraseAudio	ph4.wav
96000	400	IMAGE_STREAM	CheckBoardV	checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp
108000	400	SOUND	calculaudio	calc10.wav
116700	400	TEXT_STREAM	clicGvideo	pulse~tres veces~en el botón~izquierdo
119400	400	SOUND	phraseAudio	ph5.wav
122700	400	IMAGE_STREAM	CheckBoardV	checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp
125400	400	TEXT_STREAM	calculvideo	calcule~once~menos~nueve
131400	400	TEXT_STREAM	phraseVideo	A los osos~les encanta~el salmón~y la miel
135000	400	SOUND	calculaudio	calc2.wav
137700	400	SOUND	calculaudio	calc8.wav
140400	400	IMAGE_STREAM	CheckBoardV	checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp
143400	400	SOUND	clicDaudio	clic3D.wav
146700	400	SOUND	phraseAudio	ph6.wav
149400	400	IMAGE_STREAM	CheckBoardH	checherboardHpb.bmp~checherboardHnb.bmp~checherboardHpb.bmp~checherboardHnb.bmp~checherboardHpb.bmp~checherboardHnb.bmp
